calibration_id,model,item_id
CAL-086,baichuan_omni_1_5,video_0188
CAL-087,qwen2_5_omni,video_0089
CAL-088,qwen2_5_omni,video_0157
CAL-089,omnivinci,video_0145
CAL-090,qwen2_5_omni,video_0174
CAL-091,baichuan_omni_1_5,video_0117
CAL-092,qwen2_5_omni,video_0170
CAL-093,baichuan_omni_1_5,video_0001
CAL-094,qwen2_5_omni,video_0056
CAL-095,gemini_3_flash_preview,video_0140
CAL-096,baichuan_omni_1_5,video_0118
CAL-097,qwen2_5_omni,video_0140
CAL-098,vita_1_5,video_0124
CAL-099,qwen2_5_omni,video_0186
CAL-100,vita_1_5,video_0166
CAL-101,gemini_2_5_flash,video_0001
CAL-102,gemini_3_flash_preview,video_0020
CAL-103,qwen3_omni_thinking,video_0018
CAL-104,gemini_2_5_flash,video_0034
CAL-105,qwen2_5_omni,video_0105
CAL-106,omnivinci,video_0118
CAL-107,qwen3_omni,video_0014
CAL-108,gemini_3_flash_preview,video_0026
CAL-109,gemini_3_pro_preview,video_0090
CAL-110,gemini_3_flash_preview,video_0138
CAL-111,gemini_3_flash_preview,video_0101
CAL-112,gemini_2_5_pro,video_0198
CAL-113,qwen3_omni,video_0171
CAL-114,qwen2_5_omni,video_0053
CAL-115,qwen2_5_omni,video_0118
CAL-116,gemini_2_5_pro,video_0086
CAL-117,gemini_2_5_flash,video_0150
CAL-118,gemini_3_pro_preview,video_0194
CAL-119,qwen3_omni,video_0099
CAL-120,qwen2_5_omni,video_0198
CAL-121,baichuan_omni_1_5,video_0147
CAL-122,gemini_2_5_flash,video_0144
CAL-123,gemini_3_flash_preview,video_0050
CAL-124,qwen3_omni_thinking,video_0034
CAL-125,gemini_3_pro_preview,video_0037
CAL-126,vita_1_5,video_0018
CAL-127,qwen3_omni,video_0200
CAL-128,omnivinci,video_0160
CAL-129,vita_1_5,video_0057
CAL-130,baichuan_omni_1_5,video_0145
CAL-131,vita_1_5,video_0170
CAL-132,gemini_2_5_flash,video_0161
CAL-133,qwen3_omni,video_0105
CAL-134,vita_1_5,video_0143
CAL-135,vita_1_5,video_0169
CAL-136,qwen3_omni,video_0157
CAL-137,gemini_3_flash_preview,video_0011
CAL-138,gemini_2_5_pro,video_0089
CAL-139,qwen2_5_omni,video_0190
CAL-140,qwen3_omni,video_0159
CAL-141,omnivinci,video_0187
CAL-142,omnivinci,video_0157
CAL-143,baichuan_omni_1_5,video_0174
CAL-144,gemini_2_5_flash,video_0189
CAL-145,qwen2_5_omni,video_0149
CAL-146,gemini_3_pro_preview,video_0158
CAL-147,qwen3_omni,video_0090
CAL-148,qwen3_omni_thinking,video_0195
CAL-149,gemini_2_5_flash,video_0098
CAL-150,qwen2_5_omni,video_0200
CAL-151,qwen3_omni_thinking,video_0092
CAL-152,gemini_2_5_pro,video_0002
CAL-153,gemini_2_5_flash,video_0026
CAL-154,gemini_3_pro_preview,video_0001
CAL-155,gemini_2_5_pro,video_0040
CAL-156,qwen2_5_omni,video_0176
CAL-157,omnivinci,video_0185
CAL-158,gemini_2_5_pro,video_0056
CAL-159,qwen3_omni,video_0086
CAL-160,vita_1_5,video_0055
CAL-161,qwen3_omni_thinking,video_0158
CAL-162,gemini_2_5_flash,video_0105
CAL-163,qwen3_omni_thinking,video_0056
CAL-164,gemini_3_pro_preview,video_0198
CAL-165,qwen3_omni_thinking,video_0086
CAL-166,gemini_2_5_pro,video_0172
CAL-167,qwen2_5_omni,video_0124
CAL-168,gemini_2_5_flash,video_0113
CAL-169,qwen3_omni,video_0036
CAL-170,vita_1_5,video_0063
CAL-171,qwen3_omni_thinking,video_0155
CAL-172,gemini_3_flash_preview,video_0113
CAL-173,vita_1_5,video_0011
CAL-174,gemini_2_5_pro,video_0138
CAL-175,gemini_3_flash_preview,video_0117
CAL-176,qwen3_omni_thinking,video_0090
CAL-177,gemini_2_5_pro,video_0075
CAL-178,gemini_2_5_flash,video_0016
CAL-179,qwen3_omni,video_0031
CAL-180,vita_1_5,video_0015
CAL-181,gemini_3_flash_preview,video_0077
CAL-182,gemini_2_5_pro,video_0034
CAL-183,vita_1_5,video_0168
CAL-184,vita_1_5,video_0040
CAL-185,gemini_2_5_flash,video_0116
CAL-186,vita_1_5,video_0148
CAL-187,gemini_3_pro_preview,video_0003
CAL-188,gemini_3_pro_preview,video_0177
CAL-189,omnivinci,video_0121
CAL-190,qwen2_5_omni,video_0169
CAL-191,qwen3_omni,video_0117
CAL-192,vita_1_5,video_0149
CAL-193,baichuan_omni_1_5,video_0184
CAL-194,omnivinci,video_0168
CAL-195,qwen2_5_omni,video_0119
CAL-196,gemini_2_5_pro,video_0168
CAL-197,omnivinci,video_0117
CAL-198,gemini_3_flash_preview,video_0185
CAL-199,omnivinci,video_0087
CAL-200,omnivinci,video_0191
